,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,cururupu,-1.8283,-44.8683,72.66,98,86,1.41,BR,1648189475
277,ilulissat,69.2167,-51.1,19.42,73,40,8.05,GL,1648189476
278,palmer,42.1584,-72.3287,41.5,86,100,5.75,US,1648189477
279,orje,59.4802,11.6602,40.35,77,48,5.3,NO,1648189478
280,berdigestyakh,62.0989,126.6992,27.86,78,98,1.74,RU,1648189479
281,sorland,67.667,12.6934,34.97,70,78,8.3,NO,1648189479
282,rabo de peixe,37.8,-25.5833,58.51,82,75,16.11,PT,1648189480
283,santo anastacio,-21.8383,-51.6103,71.96,82,73,2.37,BR,1648189481
284,cozumel,20.5083,-86.9458,74.95,87,96,16.15,MX,1648189416
285,lincoln,40.8,-96.667,35.02,87,0,3.0,US,1648189383
286,abu samrah,35.3029,37.1841,40.89,89,100,6.26,SY,1648189483
287,preobrazheniye,42.9019,133.9064,41.56,94,100,5.32,RU,1648189483
288,neuquen,-38.9516,-68.0591,49.89,81,0,0.0,AR,1648189484
289,muros,42.7762,-9.0603,49.84,77,45,8.81,ES,1648189485
290,cidreira,-30.1811,-50.2056,72.1,85,95,4.85,BR,1648189486
291,shenjiamen,29.9576,122.298,59.16,98,100,28.5,CN,1648189486
292,nyaunglebin,17.95,96.7333,97.41,27,43,6.91,MM,1648189487
293,union,40.6334,-74.2663,45.95,96,100,6.91,US,1648189488
294,yanliang,34.6592,109.2292,61.79,29,100,5.91,CN,1648189489
295,atar,20.5169,-13.0499,61.9,34,0,10.0,MR,1648189490
296,nelson bay,-32.7167,152.15,73.99,71,97,3.0,AU,1648189491
297,lorengau,-2.0226,147.2712,84.34,66,100,1.5,PG,1648189491
298,cape coast,5.1053,-1.2466,79.61,87,93,6.38,GH,1648189255
299,predivinsk,57.0669,93.4378,30.0,74,100,9.71,RU,1648189493
300,ikom,5.9667,8.7063,77.2,90,57,0.81,NG,1648189493
301,ulladulla,-35.35,150.4667,70.7,79,84,6.31,AU,1648189494
302,chokurdakh,70.6333,147.9167,-5.85,98,37,3.24,RU,1648189495
303,tilichiki,60.4667,166.1,17.42,94,84,6.29,RU,1648189496
304,vanimo,-2.6741,141.3028,86.07,69,99,9.69,PG,1648189496
305,gari,59.4307,62.3497,25.0,73,100,17.69,RU,1648189497
306,tual,-5.6667,132.75,81.46,76,100,10.83,ID,1648189499
307,ulcinj,41.9294,19.2244,44.82,66,0,5.35,ME,1648189499
308,yulara,-25.2406,130.9889,89.44,27,4,11.5,AU,1648189500
309,wasilla,61.5814,-149.4394,40.98,63,100,20.71,US,1648189501
310,longyan,25.1072,117.0225,66.15,99,100,3.18,CN,1648189502
311,chik,54.9928,82.4311,24.55,85,75,13.42,RU,1648189503
312,sanming,26.2486,117.6186,72.45,87,95,4.18,CN,1648189505
313,shubarshi,48.5872,57.1869,26.47,81,88,4.23,KZ,1648189506
314,dingle,10.9995,122.6711,90.18,54,60,12.37,PH,1648189507
315,taoudenni,22.6783,-3.9836,67.64,26,0,9.17,ML,1648189508
316,vuktyl,63.8567,57.3094,16.56,78,85,16.24,RU,1648189509
317,san patricio,28.017,-97.5169,64.83,57,0,7.74,US,1648189510
318,kemijarvi,66.7131,27.4306,26.08,95,100,7.14,FI,1648189512
319,asfi,32.2994,-9.2372,55.17,76,31,6.51,MA,1648189512
320,imbituba,-28.24,-48.6703,71.82,90,100,3.91,BR,1648189513
321,pemangkat,1.1667,108.9667,86.27,68,84,8.16,ID,1648189514
322,srednekolymsk,67.45,153.6833,9.3,89,100,8.52,RU,1648189515
323,bundaberg,-24.85,152.35,83.21,50,47,8.05,AU,1648189515
324,camacha,33.0833,-16.3333,56.62,82,40,16.11,PT,1648189516
325,kruisfontein,-34.0033,24.7314,60.89,76,100,8.75,ZA,1648189517
326,vidim,56.4088,103.1106,29.16,71,91,7.27,RU,1648189518
327,chumphon,10.3333,98.8333,89.13,53,19,1.86,TH,1648189519
328,berlevag,70.8578,29.0864,26.6,63,40,14.97,NO,1648189520
329,chulman,56.8479,124.9104,27.81,77,100,3.56,RU,1648189521
330,red deer,52.2668,-113.802,28.89,64,0,8.05,CA,1648189521
331,nehe,48.4833,124.8333,35.73,81,95,9.69,CN,1648189522
332,lompoc,34.6391,-120.4579,58.12,93,100,4.61,US,1648189523
333,santa maria,-29.6842,-53.8069,56.08,70,80,6.24,BR,1648189506
334,beni suef,29.0731,31.0979,53.49,54,6,10.69,EG,1648189525
335,huancabamba,-5.2386,-79.4506,60.44,95,99,2.42,PE,1648189525
336,jieshi,22.8134,115.8257,66.94,89,77,8.95,CN,1648189526
337,el cope,8.6167,-80.6,67.23,90,37,7.16,PA,1648189527
338,suez,29.9737,32.5263,55.02,52,9,14.79,EG,1648189528
339,aromashevo,56.8602,68.6375,32.14,95,100,19.1,RU,1648189528
340,mount isa,-20.7333,139.5,98.37,19,94,9.22,AU,1648189530
341,chernyshevskiy,63.0128,112.4714,25.12,77,95,7.38,RU,1648189531
342,aripuana,-9.1667,-60.6333,72.23,99,98,0.72,BR,1648189532
343,bahia blanca,-38.7196,-62.2724,57.7,91,100,24.0,AR,1648189532
344,namatanai,-3.6667,152.4333,84.74,64,48,5.84,PG,1648189533
345,fomboni,-12.28,43.7425,83.66,72,80,4.27,KM,1648189534
346,fare,-16.7,-151.0167,81.27,74,56,14.18,PF,1648189535
347,sawtell,-30.3833,153.1,69.82,88,100,4.61,AU,1648189535
348,coihaique,-45.5752,-72.0662,50.61,76,40,4.61,CL,1648189329
349,den helder,52.9599,4.7593,42.98,96,9,5.01,NL,1648189537
350,chauk,20.8833,94.8167,93.2,30,39,10.96,MM,1648189537
351,kamenka,51.3223,42.7678,30.7,78,0,1.81,RU,1648189538
352,georgiyevka,43.0369,74.7114,44.64,76,40,13.42,KZ,1648189539
353,maryville,35.7565,-83.9705,49.48,65,0,5.75,US,1648189540
354,saint-francois,46.4154,3.9054,35.67,100,1,3.44,FR,1648189540
355,lamas,-6.4167,-76.5333,65.21,99,76,2.3,PE,1648189541
356,skibbereen,51.55,-9.2667,45.12,79,89,6.71,IE,1648189542
357,paysandu,-32.3214,-58.0756,52.61,80,89,18.84,UY,1648189360
358,cabo rojo,18.0866,-67.1457,75.67,82,0,7.7,PR,1648189543
359,shirgaon,19.7,72.7,86.59,46,61,5.37,IN,1648189544
360,bad durrheim,48.0167,8.5333,44.94,68,5,1.79,DE,1648189545
361,buraydah,26.326,43.975,61.25,21,0,9.08,SA,1648189545
362,porto belo,-27.1578,-48.5531,69.26,91,86,5.32,BR,1648189546
363,hasaki,35.7333,140.8333,64.29,43,11,10.33,JP,1648189547
364,olga,43.7444,135.2892,39.97,92,100,8.39,RU,1648189548
365,lekoni,-1.5843,14.2591,78.12,66,57,1.25,GA,1648189548
366,iqaluit,63.7506,-68.5145,10.13,72,75,2.3,CA,1648189549
367,smithers,54.7804,-127.1743,39.52,41,100,4.61,CA,1648189261
368,solnechnyy,50.7214,136.6319,32.38,86,100,3.49,RU,1648189550
369,cabra,37.4725,-4.4421,54.18,75,100,5.14,ES,1648189551
370,barcelona,41.3888,2.159,55.33,70,0,13.8,ES,1648189552
371,sayat,38.7839,63.8803,57.07,42,99,21.05,TM,1648189553
372,sao gabriel da cachoeira,-0.1303,-67.0892,72.07,99,96,1.1,BR,1648189553
373,clyde river,70.4692,-68.5914,-5.57,84,100,27.63,CA,1648189554
374,umea,63.8284,20.2597,33.73,100,100,5.75,SE,1648189331
375,saint-joseph,-21.3667,55.6167,84.58,76,29,5.95,RE,1648189555
376,port lincoln,-34.7333,135.8667,67.08,54,16,12.03,AU,1648189266
377,aksha,50.2814,113.2867,36.27,27,100,7.38,RU,1648189557
378,santa maria da vitoria,-13.3947,-44.1886,70.25,63,9,3.18,BR,1648189558
379,abalak,58.1286,68.5944,31.98,94,100,14.63,RU,1648189559
380,oktyabrskiy,54.4815,53.471,33.4,82,95,12.12,RU,1648189560
381,miraflores,19.2167,-98.8083,57.87,50,5,2.04,MX,1648189561
382,junin,-34.5838,-60.9433,56.43,90,84,22.35,AR,1648189355
383,changji,44.0167,87.3167,45.39,42,0,4.47,CN,1648189563
384,saint anthony,45.0205,-93.218,39.65,86,0,5.75,US,1648189563
385,sarangani,5.4033,125.4636,82.51,76,100,17.98,PH,1648189564
386,ler,8.3018,30.1418,84.94,12,22,11.27,SS,1648189565
387,pijijiapan,15.7011,-93.23,74.8,64,70,12.5,MX,1648189566
388,tiarei,-17.5333,-149.3333,80.62,74,50,13.69,PF,1648189567
389,dondo,-19.6094,34.7431,80.11,79,1,6.67,MZ,1648189567
390,yarega,63.4354,53.5765,19.69,80,96,12.21,RU,1648189568
391,ekibastuz,51.6667,75.3667,31.26,87,52,17.47,KZ,1648189569
392,sao jose da coroa grande,-8.8978,-35.1478,76.33,85,88,4.38,BR,1648189570
393,lazaro cardenas,17.9583,-102.2,69.12,72,1,3.83,MX,1648189571
394,carinhanha,-14.3047,-43.765,69.82,62,7,3.56,BR,1648189571
395,sven,53.1822,34.5511,33.91,91,100,3.49,RU,1648189572
396,msanga,-6.05,36.0333,72.09,76,5,4.7,TZ,1648189573
397,saint-pierre,-21.3393,55.4781,85.68,66,0,9.22,RE,1648189574
398,ionia,42.9873,-85.0711,35.29,97,100,8.05,US,1648189330
399,deep river,46.1001,-77.4995,39.43,98,100,3.06,CA,1648189295
400,pathein,16.7833,94.7333,93.74,38,37,9.51,MM,1648189576
401,hambantota,6.1241,81.1185,89.94,66,40,3.44,LK,1648189576
402,hailar,49.2,119.7,31.59,81,91,8.68,CN,1648189577
403,oriximina,-1.7656,-55.8661,74.32,93,97,3.85,BR,1648189578
404,estrela,-28.0611,-50.9383,57.61,98,96,2.95,BR,1648189579
405,alcala la real,37.4614,-3.923,51.71,73,100,1.99,ES,1648189580
406,abu dhabi,24.4667,54.3667,96.91,19,0,5.75,AE,1648189513
407,tyup,42.7276,78.3648,36.21,84,98,2.8,KG,1648189581
408,los llanos de aridane,28.6585,-17.9182,55.15,63,0,4.61,ES,1648189582
409,luoyang,34.6836,112.4536,54.54,84,100,3.49,CN,1648189583
410,taguatinga,-12.3857,-46.5711,72.41,79,44,1.48,BR,1648189584
411,isa khel,36.6702,68.8443,66.34,39,1,4.34,AF,1648189584
412,sao joao da barra,-21.6403,-41.0511,74.3,90,2,11.72,BR,1648189585
413,chapais,49.7834,-74.8492,31.78,99,100,10.85,CA,1648189520
414,isangel,-19.55,169.2667,79.83,78,85,13.4,VU,1648189587
415,westport,41.1415,-73.3579,44.64,96,100,5.75,US,1648189588
416,atikokan,48.7555,-91.6216,24.24,98,95,4.12,CA,1648189589
417,inyonga,-6.7167,32.0667,69.24,87,27,2.62,TZ,1648189589
418,chabahar,25.2919,60.643,82.11,51,0,2.51,IR,1648189590
419,saint george,37.1041,-113.5841,63.19,27,0,3.0,US,1648189591
420,hobyo,5.3505,48.5268,82.76,71,99,4.41,SO,1648189592
421,padang,-0.9492,100.3543,87.85,52,81,6.76,ID,1648189593
422,filingue,14.3521,3.3168,79.57,14,88,5.73,NE,1648189594
423,wageningen,51.9667,5.6667,41.11,89,0,5.46,NL,1648189594
424,vallenar,-28.5708,-70.7581,64.22,66,0,1.45,CL,1648189595
425,olinda,-8.0089,-34.8553,74.93,94,40,1.14,BR,1648189472
426,santa maria del oro,25.9333,-105.3667,47.16,12,0,2.8,MX,1648189596
427,mogadishu,2.0371,45.3438,84.07,84,20,5.75,SO,1648189597
428,jumla,29.2747,82.1838,65.05,16,0,6.58,NP,1648189598
429,boskoop,52.075,4.6556,43.02,82,0,2.3,NL,1648189599
430,fulton,33.7668,-84.4499,52.39,58,0,0.0,US,1648189600
431,rostovka,55.3842,71.8891,30.81,92,100,18.12,RU,1648189601
432,fort nelson,58.8053,-122.7002,13.59,57,20,5.75,CA,1648189602
433,labuhan,-6.8844,112.2051,86.14,67,100,6.67,ID,1648189602
434,laguna,38.421,-121.4238,66.18,74,0,8.05,US,1648189337
435,cairns,-16.9167,145.7667,85.95,66,100,12.66,AU,1648189304
436,xiashi,30.5363,120.6864,71.62,85,93,14.79,CN,1648189605
437,bodaybo,57.8506,114.1933,28.45,79,100,1.9,RU,1648189605
438,silver city,32.7701,-108.2803,55.69,21,0,5.01,US,1648189606
439,nador,35.174,-2.9287,57.45,77,20,9.22,MA,1648189607
440,atherton,53.5237,-2.4935,47.79,54,99,2.89,GB,1648189608
441,kyrksaeterora,63.2906,9.0891,45.19,96,100,29.17,NO,1648189609
442,okmulgee,35.6234,-95.9605,41.38,87,0,3.44,US,1648189610
443,garissa,-0.4536,39.6401,85.89,59,30,17.67,KE,1648189611
444,washington,47.5001,-120.5015,45.57,53,76,4.07,US,1648189500
445,kalaiya,27.0327,85.0022,97.03,10,0,2.62,NP,1648189517
446,aflao,6.116,1.1914,78.93,89,20,2.3,TG,1648189613
447,mount gambier,-37.8333,140.7667,69.71,49,75,11.5,AU,1648189614
448,ilanskiy,56.2358,96.065,27.09,88,100,7.83,RU,1648189614
449,neiafu,-18.65,-173.9833,81.28,83,100,6.91,TO,1648189615
450,maridi,4.9158,29.4742,84.27,26,14,6.4,SS,1648189616
451,erenhot,43.6475,111.9767,46.0,11,78,28.1,CN,1648189617
452,shimoni,-4.6476,39.3817,83.16,76,59,9.24,KE,1648189617
453,eyl,7.9803,49.8164,82.72,60,32,9.73,SO,1648189618
454,ust-ilimsk,58.0006,102.6619,28.83,77,100,6.78,RU,1648189619
455,sioux lookout,50.1001,-91.917,30.27,86,75,5.75,CA,1648189620
456,kulhudhuffushi,6.6221,73.07,82.58,62,8,6.26,MV,1648189620
457,krasnoselkup,65.7,82.4667,17.28,89,97,13.18,RU,1648189621
458,khorixas,-20.3667,14.9667,67.3,87,70,0.74,NA,1648189622
459,romitan,39.9343,64.3814,53.55,62,0,11.5,UZ,1648189623
460,guilin,25.2819,110.2864,77.11,99,100,0.65,CN,1648189623
461,parkes,-33.1333,148.1833,74.62,75,85,2.17,AU,1648189624
462,coromandel,-18.4733,-47.2003,66.4,80,36,3.13,BR,1648189625
463,terney,45.0503,136.6092,35.74,98,100,6.26,RU,1648189626
464,benalla,-36.55,145.9833,80.35,25,0,4.36,AU,1648189627
465,tecoanapa,16.5167,-98.75,74.79,78,53,4.0,MX,1648189627
466,souillac,-20.5167,57.5167,84.58,70,40,8.05,MU,1648189629
467,krasnyy chikoy,50.3643,108.7512,27.66,87,100,8.5,RU,1648189629
468,sawakin,19.1059,37.3321,70.88,55,9,15.61,SD,1648189630
469,deputatskiy,69.3,139.9,4.53,88,46,0.38,RU,1648189631
470,la foa,-21.7108,165.8276,79.25,76,72,11.32,NC,1648189632
471,fengkou,30.0833,113.2667,55.15,94,100,10.16,CN,1648189633
472,saint augustine,29.8947,-81.3145,61.09,95,100,5.75,US,1648189417
473,the valley,18.217,-63.0578,76.86,75,8,23.98,AI,1648189634
474,quelimane,-17.8786,36.8883,76.95,94,20,12.66,MZ,1648189635
475,severo-yeniseyskiy,60.3725,93.0408,24.89,71,100,3.47,RU,1648189635
476,hokitika,-42.7167,170.9667,65.16,72,2,11.23,NZ,1648189636
477,panalingaan,8.7842,117.4231,87.6,63,73,6.11,PH,1648189637
478,soplaviento,10.3931,-75.1408,78.73,76,56,0.89,CO,1648189638
479,ikeda,34.8221,135.4298,68.34,46,0,9.22,JP,1648189638
480,copacele,45.5,22.1,42.06,60,0,1.72,RO,1648189639
481,torredonjimeno,37.7675,-3.9578,56.32,62,100,8.99,ES,1648189640
482,telimele,10.9167,-13.3333,69.62,69,67,1.43,GN,1648189641
483,kurchum,48.5722,83.6542,26.47,80,49,1.32,KZ,1648189642
484,dublin,37.7021,-121.9358,54.68,87,0,5.75,US,1648189643
485,port keats,-14.25,129.55,90.37,55,49,6.71,AU,1648189644
486,fortuna,40.5982,-124.1573,49.66,95,100,0.0,US,1648189644
487,half moon bay,37.4636,-122.4286,54.28,90,100,12.66,US,1648189645
488,mosquera,4.7059,-74.2302,51.89,93,98,3.44,CO,1648189646
489,asosa,10.0667,34.5333,77.11,20,1,7.4,ET,1648189647
490,guerrero negro,27.9769,-114.0611,62.98,65,71,8.81,MX,1648189647
491,svetlyy,54.675,20.1347,45.97,82,20,9.22,RU,1648189648
492,mount pleasant,32.7941,-79.8626,55.54,96,100,4.61,US,1648189371
493,vao,-22.6667,167.4833,77.45,67,54,13.53,NC,1648189649
494,gaeta,41.2183,13.5628,47.73,89,0,2.39,IT,1648189650
495,marzuq,14.4,46.4667,79.84,41,34,2.06,YE,1648189651
496,pochutla,15.7432,-96.4661,75.81,79,48,2.55,MX,1648189652
497,chilca,-12.5211,-76.7372,68.9,86,18,3.36,PE,1648189652
498,wagar,16.1525,36.2032,71.87,53,5,15.41,SD,1648189653
499,gorgan,36.8387,54.4348,49.96,71,100,11.5,IR,1648189654
500,severo-kurilsk,50.6789,156.125,29.98,67,54,10.92,RU,1648189438
501,yambio,4.5721,28.3955,82.04,45,51,2.8,SS,1648189655
502,baruun-urt,46.6806,113.2792,35.65,24,52,10.83,MN,1648189656
503,ostrovnoy,68.0531,39.5131,21.92,81,100,34.02,RU,1648189657
504,cradock,-32.1642,25.6192,59.65,73,90,7.99,ZA,1648189657
505,magna,40.7091,-112.1016,56.88,50,40,5.75,US,1648189658
506,olafsvik,64.8945,-23.7142,26.98,93,100,27.27,IS,1648189659
507,talnakh,69.4865,88.3972,16.21,91,100,12.73,RU,1648189660
508,ahome,25.9167,-109.1833,63.0,52,17,5.28,MX,1648189660
509,bonavista,48.6499,-53.1147,28.08,75,47,25.66,CA,1648189661
510,maksatikha,57.797,35.8825,33.66,98,100,4.59,RU,1648189662
511,biu,10.6129,12.1946,72.41,27,97,11.88,NG,1648189663
512,boda,4.3189,17.4695,75.34,73,96,1.3,CF,1648189664
513,manta,-0.95,-80.7333,76.78,88,100,2.3,EC,1648189664
514,leningradskiy,69.3833,178.4167,-12.62,98,80,10.36,RU,1648189665
515,bikin,46.8161,134.26,34.38,99,100,6.08,RU,1648189666
516,itarema,-2.9248,-39.9167,75.58,91,62,6.67,BR,1648189667
517,amga,60.8953,131.9608,29.43,84,100,2.66,RU,1648189667
518,basco,20.4487,121.9702,79.77,86,53,16.55,PH,1648189668
519,pavlodar,52.3,76.95,24.6,80,0,8.95,KZ,1648189669
520,dunedin,-45.8742,170.5036,58.8,74,2,4.0,NZ,1648189670
521,kundgol,15.25,75.25,86.2,36,90,2.98,IN,1648189671
522,sile,41.1754,29.6133,48.56,50,26,5.01,TR,1648189671
523,muncar,-8.4333,114.3333,85.82,69,67,4.79,ID,1648189672
524,bogotol,56.2078,89.5342,25.68,83,98,14.41,RU,1648189673
525,imeni poliny osipenko,52.4201,136.4853,29.8,80,100,2.15,RU,1648189673
526,panaba,21.2833,-88.2667,70.32,70,96,10.49,MX,1648189674
527,dudinka,69.4058,86.1778,16.63,90,99,17.69,RU,1648189675
528,mahon,39.8885,4.2658,55.96,88,100,16.11,ES,1648189676
529,lagoa,39.05,-27.9833,60.01,88,100,32.39,PT,1648189677
530,dukat,62.55,155.55,9.1,86,99,3.69,RU,1648189678
531,saint-augustin,51.226,-58.6502,12.06,94,100,4.92,CA,1648189678
532,ewa beach,21.3156,-158.0072,75.15,67,75,9.22,US,1648189680
533,kargasok,59.0556,80.8572,27.16,86,100,13.89,RU,1648189681
534,morros,-9.4467,-46.3003,72.39,84,85,2.64,BR,1648189682
535,toora-khem,52.4675,96.11,25.93,70,98,5.37,RU,1648189682
536,koshurnikovo,54.1667,93.3,27.16,85,100,10.85,RU,1648189683
537,oktyabrskoye,43.0645,44.7417,35.74,86,75,8.95,RU,1648189684
538,port-gentil,-0.7193,8.7815,80.56,94,40,4.61,GA,1648189685
539,shelburne,44.0787,-80.2041,38.23,97,78,10.96,CA,1648189685
540,selma,36.5708,-119.6121,73.45,59,2,3.83,US,1648189686
541,komsomolskiy,40.4272,71.7189,48.92,61,18,4.61,UZ,1648189687
542,sydney,-33.8679,151.2073,71.58,85,95,5.01,AU,1648189517
543,rovaniemi,66.5,25.7167,24.21,93,100,9.22,FI,1648189689
544,quatre cocos,-20.2078,57.7625,86.09,66,39,9.69,MU,1648189689
545,haines junction,60.7522,-137.5108,30.15,69,100,1.14,CA,1648189690
546,toamasina,-18.1667,49.3833,86.0,74,40,3.44,MG,1648189691
547,valparaiso,-33.0393,-71.6273,61.48,60,0,4.61,CL,1648189630
548,sobolevo,54.4299,31.8996,30.56,100,90,3.44,RU,1648189692
549,aleksin,54.51,37.08,36.43,99,58,2.86,RU,1648189693
